CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
19740,17,117,1-17-2020-117-09,9,1,1,1,Deployment,1,17043,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,850.587412197415,4,5
19740,17,117,1-17-2020-117-09,9,2,1,2,Non-Deployment,97,25732,0,97,9997.0000,7,9997.0000,-0.0483,9997.0000,997.0000,9997.0000,850.587412197415,4,5
19740,17,117,1-17-2020-117-09,9,2,1,1,Deployment,1,25740,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,850.587412197415,4,5
19741,17,118,1-17-2020-118-06,6,1,1,2,1st Prior Event,1,9447,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,238.124678345625,4,5
19744,24,171,1-24-2020-171-10,10,1,1,1,Deployment,1,19315,0,97,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,4018.83756297856,1,5
19745,24,172,1-24-2020-172-09,9,3,1,1,Event Record 1,2,8538,0,1,9997.0000,1,9997.0000,0.0000,20.0000,9.6600,75.0000,878.443799037631,1,5
19747,24,174,1-24-2020-174-04,4,1,1,2,Event Record 2,1,7195,1,2,3.0000,1,9997.0000,-9.6600,297.5000,3.2200,297.5000,670.422587650458,1,5
19747,24,174,1-24-2020-174-04,4,1,1,1,Event Record 1,95,7195,0,1,0.0000,1,9997.0000,-1.6100,282.5000,0.0000,125.0000,670.422587650458,1,5
19752,52,176,1-52-2020-176-02,2,1,1,1,Most Recent Event,2,1741,0,2,0.4100,1,9997.0000,0.0000,0.0000,10.9480,174.0000,20.3744460339419,12,5
19752,52,176,1-52-2020-176-02,2,1,1,2,1st Prior Event,1,1741,0,1,9995.0000,1,9997.0000,-14.9730,146.0000,-18.9980,122.0000,20.3744460339419,12,5
19752,52,176,1-52-2020-176-02,2,2,1,2,Second Record,3,8230,1,4,0.1000,1,9997.0000,13.6850,300.0000,1.2075,186.0000,20.3744460339419,12,5
