CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
8704,28,64,1-28-2017-064-09,9,1,1,2,Non-Deployment,97,18668,0,7,9997.0000,7,9997.0000,-0.1771,9997.0000,997.0000,9997.0000,3000.90381316687,3,2
6248,28,3,1-28-2017-003-08,8,1,1,1,First Record,97,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,115.39700389055,3,2
6255,22,8,1-22-2017-008-07,7,1,1,2,1st Prior Event,97,12395,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,178.517289524824,12,2
8283,33,105,1-33-2017-105-10,10,2,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,7,9997.0000,-52.4860,9997.0000,997.0000,9997.0000,3824.95382848974,12,2
8482,32,130,1-32-2017-130-02,2,1,1,2,Non-Deployment,97,29829,0,7,9997.0000,7,9997.0000,-0.0483,9997.0000,997.0000,9997.0000,122.372938852714,7,2
6858,24,36,1-24-2017-036-08,8,2,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,7,9997.0000,-0.6440,9997.0000,997.0000,9997.0000,478.637750791523,1,2
9098,21,80,1-21-2017-080-08,8,2,1,2,Non-Deployment,97,22340,0,7,9997.0000,7,9997.0000,-0.3381,9997.0000,997.0000,9997.0000,47.0960370255936,11,2
7886,14,46,1-14-2017-046-02,2,1,1,2,1st Prior Event,97,5659,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,300.389675968169,8,2
7209,14,29,1-14-2017-029-07,7,1,1,2,1st Prior Event,97,4625,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,5839.57216860709,8,2
7573,23,72,1-23-2017-072-03,3,1,1,1,Non-Deployment,97,0,1,7,9997.0000,7,9997.0000,-6.3112,9997.0000,997.0000,9997.0000,138.091947184635,5,2
8073,18,52,1-18-2017-052-06,6,1,1,2,Non-Deployment,97,33068,1,7,9997.0000,7,9997.0000,-0.2576,9997.0000,997.0000,9997.0000,589.079808493488,6,2
8694,16,87,1-16-2017-087-02,2,2,1,2,Non-Deployment,97,43494,0,7,9997.0000,7,9997.0000,-0.0161,9997.0000,997.0000,9997.0000,47.9248120394146,5,2
7137,33,50,1-33-2017-050-06,6,1,1,1,First Record,97,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,202.722371698373,12,2
6947,19,51,1-19-2017-051-10,10,1,1,2,Non-Deployment,97,26764,0,7,0.2000,7,9997.0000,-0.0161,9997.0000,997.0000,9997.0000,11555.350714141,9,2
8828,21,74,1-21-2017-074-01,1,1,1,1,Deployment,97,20852,0,7,0.0200,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,121.777836364402,11,2
7769,24,86,1-24-2017-086-02,2,1,1,3,Prior Frontal/Rear Event,97,999998,1,7,9997.0000,7,9997.0000,-12.8800,9997.0000,997.0000,9997.0000,112.009825597583,1,2
8547,32,136,1-32-2017-136-03,3,1,1,1,Trg Invalid #1,97,999998,7,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,884.24174556613,7,2
8197,27,24,1-27-2017-024-07,7,1,1,1,Trg Invalid #1,97,999998,7,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,503.053117681042,3,2
7980,32,105,1-32-2017-105-07,7,1,1,1,Event Record 1,97,10773,0,7,0.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1697.99965014925,7,2
7620,24,75,1-24-2017-075-03,3,1,1,2,Event Record 2,97,7207,0,2,4.1500,8,9997.0000,997.0000,9997.0000,997.0000,9997.0000,219.954145362561,1,2
7275,22,64,1-22-2017-064-10,10,1,1,1,Non-Deployment,97,38675,0,7,0.6000,7,9997.0000,-0.6118,9997.0000,997.0000,9997.0000,147.615966556126,12,2
7769,24,86,1-24-2017-086-02,2,1,1,2,1st Prior Frontal/Rear Event,97,999998,1,7,9997.0000,7,9997.0000,2.2540,9997.0000,997.0000,9997.0000,112.009825597583,1,2
8571,21,70,1-21-2017-070-09,9,1,1,2,Deployment #2,97,25659,0,7,0.7000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,394.697037335105,11,2
8210,18,55,1-18-2017-055-07,7,1,1,2,Event 2,97,11971,1,2,655.3300,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1178.91146170421,6,2
8637,22,114,1-22-2017-114-09,9,1,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-1.7710,9997.0000,997.0000,9997.0000,514.034527979455,12,2
8983,19,143,1-19-2017-143-07,7,2,1,1,Most Recent Event,97,999998,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,808.933736699883,9,2
7540,17,48,1-17-2017-048-07,7,1,1,1,Most Recent Event,97,999998,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,532.269462614562,4,2
8359,17,80,1-17-2017-080-04,4,2,1,1,Most Recent Event,97,6754,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,804.761013587952,4,2
6397,29,5,1-29-2017-005-03,3,3,1,2,1st Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-6.7620,9997.0000,997.0000,9997.0000,778.699463795887,2,2
6676,29,12,1-29-2017-012-04,4,2,1,2,1st Prior Event,97,3113,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,3138.18315640294,2,2
8863,20,159,1-20-2017-159-04,4,1,1,4,3rd Prior Event,97,2874,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,772.060382186646,11,2
7435,22,74,1-22-2017-074-03,3,2,1,3,2nd Prior Event,97,6617,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,51.8544225345201,12,2
7172,32,57,1-32-2017-057-07,7,1,1,1,Deployment,97,5912,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2629.97117438863,7,2
6816,12,18,1-12-2017-018-05,5,1,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-4.1860,9997.0000,997.0000,9997.0000,628.832940754307,9,2
7618,12,39,1-12-2017-039-07,7,1,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-8.0500,9997.0000,997.0000,9997.0000,990.615583180885,9,2
8265,13,102,1-13-2017-102-02,2,1,1,4,3rd Prior Event,97,1642,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,49.8928274034076,7,2
8290,13,103,1-13-2017-103-03,3,5,1,3,2nd Prior Event,97,999998,0,7,9997.0000,1,9997.0000,-2.2540,9997.0000,997.0000,9997.0000,641.778385073643,7,2
8363,13,104,1-13-2017-104-09,9,2,1,2,1st Prior Event,97,1218,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,6105.03613816709,7,2
6823,14,20,1-14-2017-020-02,2,1,1,3,2nd Prior Event,97,999998,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,358.19383091797,8,2
8869,14,69,1-14-2017-069-07,7,2,1,3,Prior Frontal/Rear Event,97,999998,0,7,9997.0000,1,9997.0000,-10.9480,9997.0000,997.0000,9997.0000,7011.71703689729,8,2
8387,33,110,1-33-2017-110-03,3,1,1,6,4th Prior Event,97,11426,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,65.8727133970128,12,2
