CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
21193,23,23,1-23-2021-023-03,3,2,5,6,31,13,23,5026,1895936,5,10/30/2013,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,5,1,1,1,1354.15093501868,5,6
21272,10,43,1-10-2021-043-03,3,2,2,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,272.109207339713,4,6
21272,10,43,1-10-2021-043-03,3,2,3,3,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,272.109207339713,4,6
21363,52,50,1-52-2021-050-06,6,2,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,25.5290595660634,12,6
21370,13,24,1-13-2021-024-09,9,1,3,2,21,10,12,2013,CC147-DFL,2,10/29/2019,2,1,2,2,1,1,1,3,9,1,3,2,0,1,9,4,1,1,1,8700.1539893374,7,6
21370,13,24,1-13-2021-024-09,9,1,4,4,22,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,0,1,8700.1539893374,7,6
21370,13,24,1-13-2021-024-09,9,1,5,5,23,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,8700.1539893374,7,6
21382,32,50,1-32-2021-050-05,5,2,3,1,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,3,1,1,1,78.6407716280038,7,6
21398,19,52,1-19-2021-052-05,5,1,3,2,23,10,16,2053,CC163-DJV,2,08/11/2017,2,1,2,2,1,1,1,2,9,1,1,0,0,1,9,3,1,1,1,47.5090336657469,9,6
21417,20,32,1-20-2021-032-04,4,1,2,2,22,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,327.771182218539,11,6
21426,54,13,1-54-2021-013-07,7,1,2,2,23,4,4,2008,99999999,2,9999999999,2,2,2,2,1,1,1,2,3,1,3,3,4,1,9,5,1,1,1,544.944637295807,9,6
21453,32,51,1-32-2021-051-02,2,2,3,4,21,2,2,1002,CS43710A,1,04/21/2020,1,1,1,2,1,0,1,4,9,0,9,9,0,1,9,5,1,1,1,81.5843928505354,7,6
21467,30,27,1-30-2021-027-06,6,2,2,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,445.047869539732,10,6
21499,14,26,1-14-2021-026-04,4,2,3,4,21,13,23,9998,99999999,6,9999999999,3,2,2,0,0,9,9,0,0,9,9,2,0,1,9,3,1,1,1,3111.4776522479,8,6
21610,16,33,1-16-2021-033-03,3,2,3,3,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,789.793858896811,5,6
21642,19,64,1-19-2021-064-06,6,1,2,2,23,10,12,6010,BC126 EUX,6,12/15/2017,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,3,1,1,1,168.350055870589,9,6
21665,22,53,1-22-2021-053-09,9,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,1,9,5,9,1,1,40.7168160748997,12,6
21786,52,77,1-52-2021-077-06,6,2,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,1,5,1,1,1,75.2428542544457,12,6
21799,14,34,1-14-2021-034-03,3,2,3,1,21,98,98,9998,99999999,99,9999999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,3883.17397531495,8,6
21799,14,34,1-14-2021-034-03,3,2,5,3,31,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,0,0,3883.17397531495,8,6
21799,14,34,1-14-2021-034-03,3,2,4,2,23,98,98,9998,99999999,99,9999999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,3883.17397531495,8,6
21799,14,34,1-14-2021-034-03,3,2,6,4,33,98,98,9998,99999999,99,9999999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,0,0,3883.17397531495,8,6
21803,18,33,1-18-2021-033-02,2,2,3,5,23,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,48.5556827782631,6,6
21803,18,33,1-18-2021-033-02,2,2,5,4,33,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,0,0,0,0,9,0,1,9,5,1,1,1,48.5556827782631,6,6
21803,18,33,1-18-2021-033-02,2,2,2,2,21,98,98,9998,99999999,99,9999999999,9,1,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,48.5556827782631,6,6
21808,23,42,1-23-2021-042-03,3,2,2,2,21,10,16,9998,99999999,3,9999999999,2,2,2,9,9,9,9,3,3,2,3,3,9,1,9,9,9,1,1,268.932290391585,5,6
21857,48,37,1-48-2021-037-04,4,2,3,3,23,10,16,4005,CC061-CWGC,4,9999999999,2,3,2,2,1,1,1,2,3,1,3,3,0,1,1,3,1,1,1,462.841724946,12,6
21857,48,37,1-48-2021-037-04,4,2,2,2,21,12,19,2027,34712060,2,04/24/2019,2,3,2,2,1,1,1,2,3,1,3,3,0,1,1,3,1,1,1,462.841724946,12,6
21865,52,79,1-52-2021-079-04,4,2,2,2,22,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,1,93.8072034723025,12,6
21865,52,79,1-52-2021-079-04,4,2,3,3,23,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,93.8072034723025,12,6
21871,14,37,1-14-2021-037-04,4,1,3,4,21,13,98,9998,99999999,1,9999999999,1,2,1,2,1,0,1,5,5,0,1,0,0,1,2,3,1,1,1,2455.97253194397,8,6
21871,14,37,1-14-2021-037-04,4,1,4,2,23,13,98,9998,99999999,6,9999999999,3,2,2,0,0,0,0,0,0,0,0,2,0,1,1,5,1,1,1,2455.97253194397,8,6
21875,25,44,1-25-2021-044-01,1,1,3,3,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,46.2646390777131,2,6
21875,25,44,1-25-2021-044-01,1,1,4,4,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,46.2646390777131,2,6
